немного;a little bit
неизменный;invariable
вторжение, нашествие;invasion
изобретать, придумывать;invent
изобретение;invention
товары в списке;inventory
обратный;inverse
вкладывать деньги;invest
расследовать, исследовать;investigate
расследование;investigation
вложение;investment
непобедимый;invincible
невидимый;invisible
приглашение;invitation
приглашать или вызывать, провоцировать;invite
призывать, вызывать;invoke
включать в себя, предполагать, вовлекать;involve
участие, вовлечение;involvement
вовнутрь;inwards
железо/железный;iron
ирония;irony
неразумный;irrational
неправильный;irregular
неуместный;irrelevant
незаменимый;irreplaceable
неотразимый;irresistible
безответственный;irresponsible
неуважение;irreverence
необратимый;irreversible
раздражать;irritate
остров;island
вопрос, предмет обсуждения;issue
зуд/чесаться;itch
предмет, пункт по списку;item
куртка;jacket
тюрьма;jail
зажимать/сжатие;jam
банка или кувшин;jar
челюсть;jaw
завидующий, ревнивый;jealous
зависть или ревность;jealousy
насмешка/насмехаться, глумиться;jeer
желе;jelly
шутка/шутить;jest
реактивный двигатель или самолЮт;jet
еврей;jew
ювелирные изделия;jewelry
работа;job
двигаться трясясь/медленная езда, ходьба, бег трусцой;jog
соединять, присоединяться, вступать;join
объединЮнный, совместный;joint
шутка;joke
весЮлый;jolly
дневник;journal
журналистика;journalism
путешествие;journey
радость, веселье;joy
радостный;joyful
составлять мнение, судить;judge
судья/судить;judge
суждение или рассудительность;judgement
кувшин;jug
сок;juice
джунгли;jungle
младший;junior
хлам;junk
наркоман;junkie
верный, точный;just
просто, всего лишь;just
справедливый;just
только что;just
справедливость или правосудие;justice
оправдывать;justify
острый;keen
остерегаться, избегать;keep away
удерживать от;keep from
продолжать делать;keep on
ядро, зернышко, суть;kernel
чайник или кастрюля;kettle
ключ;key
пинать;kick
ребЮнок;kid
похищать человека;kidnap
вид, тип;kind
добрый;kind
зажигать (огонь);kindle
доброта;kindness
король;king
королевство;kingdom
поцелуй;kiss
кухня;kitchen
котЮнок;kitten
искусство, ловкость;knack
колено;knee
становиться на колени;kneel
нож;knife
вязать;knit
ручка, кнопка и т. д. на аппарате;knob
стучать/удар;knock
узел/завязывать узел;knot
знание;knowledge
известный;known
ярлык, отметка/называть, метить, вешать ярлык;label
труд;labor
трудолюбивый или трудоЮмкий;laborious
недостаток или полное отсутствие;lack
лестница;ladder
отставать;lag
озеро;lake
ягнЮнок;lamb
хромой;lame
земля/приземляться;land
владелец земли или квартиры;landlord
веха, межевой знак;landmark
пейзаж, ладшафт;landscape
узкая дорога, переулок;lane
язык;language
фонарь;lantern
колени;lap
широкий, обширный;large
кнут/хлестать;lash
длиться, продолжаться;last
последний;last
длительный, постоянный;lasting
поздно, поздний;late
недавно, за последнее время;lately
скрытый, незаметный;latent
последний (из перечисленного);latter
смеяться;laugh
смех;laughter
начинать, пускать в ход;launch
туалет;lavatory
щедрый, расточительный;lavish
закон;law
законный;lawful
судебный процесс;lawsuit
юрист или адвокат;lawyer
класть, положить;lay
слой;layer
ленивый;lazy
вести;lead
лидерство;leadership
лист;leaf
течь, протекать/утечка;leak
облокотиться;lean against
худой;lean
прыгать/прыжок;leap
узнавать или изучать;learn
аренда/сдавать или брать в аренду;lease
как минимум;least
маленький/наименее;least
кожа (материал);leather
оставлять в покое;leave alone
оставить позади или обогнать;leave behind
оставлять, уезжать, покидать;leave
остатки;leftovers
нога;leg
наследство, наследие;legacy
законный;legal
законодательство;legislation
законодатель;legislator
досуг;leisure
давать в долг;lend
длина;length
меньше, в меньшей степени;less
уменьшать;lessen
меньший;lesser
урок;lesson
чтобы не;lest
не говоря о;let alone
отпустить;let go
буква;letter
письмо;letter
уровень/уравнивать, сглаживать;level
рычаг;lever
подверженность, обязанность;liability
обязанный, подверженный;liable
лжец;liar
освобождать;liberate
освобождение;liberation
свобода;liberty
библиотека;library
разрешение, лицензия;license
лизать;lick
крышка;lid
лежать, располагаться;lie
ложь/лгать;lie
продолжительность жизни;lifetime
поднимать;lift
лЮгкий;light
свет, освещение/освещать, зажигать;light
молния;lightning
вероятный/вероятно;likely
подобно;likewise
конечность;limb
предел;limit
ограничение;limitation
хромота/хромой;limp
линия или строка;line
очередь, ряд людей;line
медлить, тянуть;linger
соединять, связывать/звено;link
лев;lion
губа;lip
губная помада;lipstick
жидкий, водяной, прозрачный, плавный;liquid
список/вносить в список;list
буквально;literally
грамотный;literate
живой;live
печень;liver
гостиная, зал, общая комната;living room
ящерица;lizard
грузить/груз;load
заряжать;load
буханка, булка;loaf
давать в долг/заЮм;loan
ненавидеть;loathe
местный;local
определять местонахождение или располагать;locate
местоположение;location
сажать в тюрьму или дурдом;lock up
замок/запирать;lock
давать помещение или временно проживать;lodge
высокий, возвышенный;lofty
бревно;log
одиночество;loneliness
одинокий или безлюдный;lonely
одинокий;lonesome
давно;long ago
страстно желать, стремиться;long for
искать;look for
быть похожим;look like
петля;loop
лазейка, уловка;loophole
свободный, ненатянутый, просторный;loose
грабить/добыча;loot
господин или ѓосподь (Ѓог);lord
проигрывать;lose
терять;lose
проигравший или неудачник;loser
потеря;loss
участь, доля, судьба;lot
лотерея;lottery
громкий;loud
лениво ходить или валяться/праздное времяпрепровождение;lounge
паршивый, поганый;lousy
привлекательный, милый;lovely
возлюбленный, любовник;lover
низкий;low
нижний/снижать;lower
скромный, непритязательный;lowly
преданный;loyal
верность;loyalty
удача;luck
удачный, везучий;lucky
прибыльный;lucrative
багаж;luggage
успокаивать, убаюкивать;lull
ненужный хлам/загромождать;lumber
лунный;lunar
обед;lunch
лЮгкое;lung
соблазн, привлекательность/завлекать, соблазнять;lure
скрываться, прятаться;lurk
похоть, вожделение;lust
роскошь или наслаждение;luxury
стихи;lyrics
оборудование;machinery
безумный;mad
сводить с ума, бесить;madden
сумасшедший дом;madhouse
безумие;madness
журнал;magazine
магический/волшебство;magic
великолепный;magnificent
девица, девушка;maiden
почта;mail
в основном;mainly
поддерживать;maintain
сохранение, поддержание;maintenance
величие или величество;majesty
большой, главный, старший;major
большинство;majority
прояснить;make clear
смеяться над чем-то;make fun
убедиться;make sure
выдумать;make up
макияж, грим;makeup
мужчина или самец/мужской;male
злоба или злой умысел;malice
злобный, злонамеренный;malicious
справиться с задачей;manage to
управлять;manage
управление;management
зрелый возраст;manhood
очевидный;manifest
человечество;mankind
способ, образ действия;manner
большой дом, дворец;mansion
инструкция;manual
многие/много;many
карта;map
мрамор;marble
край;margin
наценка;margin
крайний, пограничный;marginal
марихуана;marijuana
моряк;mariner
знак/помечать;mark
рынок/рыночный;market
замужество, женитьба;marriage
жениться или выходить замуж;marry
выстраивать, располагать в порядке;marshal
военный;martial
мученик, страдалец;martyr
чудо, диво/удивлять;marvel
изумительный;marvellous
маскировать, скрывать/маска, личина;mask
притворяться;masquerade
резня, бойня/устраивать бойню;massacre
крупный, огромный;massive
овладевать (умением, инструментом и т. п.);master
хозяин;master
шедевр;masterpiece
мастерство;mastery
ровня, пара, что-то подходящее/подходить;match
спичка;match
товарищ по чему-либо;mate
математика;math
вопрос, предмет, содержание, дело, сущность;matter
иметь значение;matter
зрелый/созреть;mature
зрелость, завершЮнность;maturity
мэр;mayor
луг;meadow
пища;meal
означать, значить, иметь в виду;mean
предназначать для чего-то;mean
средство;mean
значение;meaning
значительный;meaningful
бессмысленный;meaningless
тем временем;meantime
тем временем;meanwhile
мера/измерять;measure
мясо;meat
вмешиваться;meddle
посредник;mediator
лекарство;medicine
посредственный;mediocre
размышлять;meditate
средство;medium
встречать или знакомиться;meet
встреча, совещание;meeting
уныние;melancholy
дыня;melon
таять или плавить;melt
член;member
памятник;memorial
память;memory
угроза/угрожать;menace
чинить;mend
умственный;mental
упоминать/упоминание;mention
торговец;merchant
милосердный, сострадательный;merciful
милосердие или милость;mercy
простой, явный;mere
всего лишь;merely
сливаться, соединяться;merge
заслуга/заслуживать;merit
веселье, развлечение;merriment
весЮлый, радостный;merry
беспорядок/производить беспорядок;mess
послание, сообщение;message
полдень;midday
середина/средний;middle
полночь;midnight
середина;midst
полпути;midway
могущество, сила;might
могущественный;mighty
мягкий, умеренный;mild
миля;mile
военный;military
молоко;milk
мельница;mill
возражать;mind
разум/знать, помнить;mind
помнящий;mindful
шахта, рудник;mine
смешивать;mingle
незначительный, второстепенный, меньший;minor
меньшинство;minority
чудо;miracle
зеркало;mirror
веселье;mirth
беда, зло, повреждение;mischief
плохо вести себя/дурное поведение;misconduct
скупой человек;miser
жалкий, несчастный;miserable
страдание, беда, невзгоды;misery
неудача, несчастье;misfortune
плохое управление;misgovernment
вводить в заблуждение, сбивать с пути;mislead
плохое управление;mismanagement
скучать;miss
упустить, пропустить, не попасть;miss
ракета;missile
туман;mist
ошибка;mistake
принимать за;mistake
госпожа;mistress
не доверять;mistrust
не понимать;misunderstand
недоразумение;misunderstanding
неправильно использовать;misuse
смешивать;mix
смесь или примесь;mixture
толпа;mob
насмехаться/осмеяние;mock
насмешка;mockery
способ, образ действия;mode
умеренны;moderate
умеренность;moderation
современный;modern
скромный;modest
скромность;modesty
видоизменять;modify
формировать, создавать;mold
мама;mom
денежный или валютный;monetary
монах;monk
обезьяна (небольшая);monkey
однообразный;monotonous
чудовище;monster
чудовищный;monstrous
месяц;month
ежемесячный/ежемесячно;monthly
памятник;monument
настроение, расположение духа;mood
луна;moon
дурак;moron
смертный или смертельный;mortal
ипотека;mortgage
унижать, подавлять или умерщвлять;mortify
мечеть;mosque
комар;mosquito
наибольший/больше всего;most
по большей части;mostly
движение;motion
неподвижный;motionless
стимул, побуждение;motive
взбираться;mount
гора;mountain
сетовать, оплакивать;mourn
мышь;mouse
рот;mouth
двигать, шевелить;move
движение;movement
кино;movie
грязь;mud
составной или многочисленный;multiple
умножение;multiplication
увеличиваться или размножаться;multiply
множество;multitude
бормотать/бормотание;mumble
убийство/убивать;murder
мышца;muscle
музей;museum
гриб;mushroom
музыкант;musician
мусульманин;muslim
усы;mustache
горчица;mustard
собирать;muster
молчаливый или немой;mute
обоюдный, взаимный;mutual
таинственный, непостижимый;mysterious
тайна;mystery
гвоздь;nail
обнажЮнный;naked
дремота, сон/дремать;nap
узкий;narrow
гадкий, отвратительный;nasty
родной;native
естественный;natural
природа;nature
военно-морской;naval
военно-морской флот;navy
нацист;nazi
неподалЮку;nearby
почти;nearly
аккуратный, изящный;neat
необходимый;necessary
необходимость;necessity
шея;neck
нуждаться/потребность;need
игла;needle
ненужный;needless
отрицать;negate
пренебрежение/пренебрегать;neglect
вести переговоры;negotiate
переговоры;negotiation
сосед;neighbor
соседство, окрестность;neighborhood
ни один ни другой;neither
ни;neither
племянник;nephew
нервы или смелость;nerve
нервный;nervous
гнездо;nest
сеть;net
сеть;network
нейтральный;neutral
несмотря, однако;nevertheless
новости;news
газета;newspaper
по соседству;next door
обгрызать, откусывать;nibble
хороший, приятный;nice
прозвище;nickname
племянница;niece
кошмар;nightmare
неважно;no matter
благородство;nobility
благородный;noble
кивать;nod
шум;noise
шумный;noisy
никто, никакой, ни один;none
однако;nonetheless
бред, чушь;nonsense
полдень, середина дня;noon
ни;nor
нормальность;normality
север;north
северный;northern
нос;nose
ноздря;nostril
замечание, заметка, знак;note
ничто, небытие;nothingness
замечать/наблюдение;notice
понятие, представление;notion
пользующийся дурной славой;notorious
имя существительное;noun
питать, кормить;nourish
роман;novel
новизна;novelty
в наше время;nowadays
нигде;nowhere
ядерный;nuclear
нагота;nudity
неприятность, помеха, неудобство;nuisance
онемелый, окоченелый;numb
количество;number
многочисленный;numerous
медсестра или нянька;nurse
воспитывать, питать;nurture
орех;nut
придурок;nut
питание;nutrition
дуб;oak
клятва;oath
покорность;obedience
подчиняться;obey
возражать;object
предмет;object
возражение;objection
цель;objective
обязательство;obligation
обязывать;oblige
неприличный, непристойный;obscene
неясный, туманный/затуманивать, затемнять;obscure
наблюдать;observe
овладеть, обуять;obsess
одержимость, навязчиватя идея;obsession
устаревший;obsolete
препятствие;obstacle
упрямство;obstinacy
упрямый;obstinate
преграждать, заслонять;obstruct
получать, достигать;obtain
очевидный;obvious
случай, возможность;occasion
случайный, редкий;occasional
занятие;occupation
занимать;occupy
приходить на ум;occur
случаться, происходить;occur
случай, происшествие;occurence
океан;ocean
странный;odd
запах, аромат;odor
нарушение, проступок;offence
обида;offence
нарушить, погрешить против ч-л;offend
обижать;offend
оскорбительный;offensive
предлагать/предложение;offer
чиновник, служащий;officer
должностное лицо;official
часто;often
масло;oil
нефть;oil
старость;old age
предзнаменование, примета;omen
зловещий;ominous
пропускать, опускать;omit
начеку;on the alert
наоборот;on the contrary
однажды;once
полтора;one and a half
лук, луковица;onion
отверстие;opening
управлять, действовать;operate
мнение;opinion
возможность;opportunity
противостоять;oppose
противоположный;opposite
противостояние;opposition
притеснение, угнетение;oppression
выбор, предмет выбора;option
необязательный;optional
порядок/приводить в порядок;order
приказывать/приказ;order
аккуратный, организованный;orderly
обычный;ordinary
руда;ore
происхождение, истоки;origin
изначальный;original
происходить, брать начало;originate
сирота;orphan
иначе, иным образом;otherwise
должен;ought
где-то там;out there
взрыв, вспышка, внезапное начало;outbreak
результат;outcome
устаревший;outdated
превзойти;outdo
вне дома;outdoor
внешний;outer
выход, сток, отдушина;outlet
очертания;outline
кругозор, точка зрения;outlook
численно превосходить;outnumber
выпуск, выход продукции;output
возмутительный поступок, грубое нарушение;outrage
возмутительный;outrageous
прямой, открытый;outright
обогнать, превзойти;outrun
отправление, начало;outset
снаружи;outside
посторонний;outsider
выдающийся;outstanding
внешний, наружний;outward
печка, духовка;oven
победить, преодолеть;overcome
переоценивать;overestimate
переливаться через край/выплеск, избыток;overflow
наверху;overhead
не замечать;overlook
чрезмерно;overly
за ночь или очень быстро;overnight
заморский/за морем;overseas
надзирать, наблюдать;oversee
затмевать;overshadow
недосмотр;oversight
догнать;overtake
опрокидываться;overthrow
сверхурочное время;overtime
перевернуть;overturn
излишек веса/весящий сверх нормы;overweight
заваливать, забрасывать, подавлять;overwhelm
чрезмерная работа, перенапряжение;overwork
быть должным, быть обязанным;owe
благодаря, вследствие;owing to
владеть/собственный;own
собственник;owner
бык;ox
кислород;oxygen
шаг/шагать;pace
множество, куча, пачка/упаковывать;pack
упаковка/упаковывать;package
мягкая подкладка/подшивать, утеплять;pad
грести;paddle
язычник/языческий;pagan
страница;page
боль;pain
болезненный, неприятный;painful
старание, усилия;pains
краска/красить;paint
картина;painting
пара;pair
дворец;palace
бледный, слабый, тусклый;pale
надоедать;pall
ладонь;palm
сковорода;pan
штаны;pants
бумага в т. ч. документ;paper
рай;paradise
пакет, посылка;parcel
прощение/прощать;pardon
часть/разделять;part
частичный;partial
участник;participant
участвовать;participate
участие;participation
частица;particle
частный, конкретный;particular
частично;partly
вечеринка;party
сторона (в процессе);party
сойти за что-либо;pass for
проводить, переносить;pass
проходить;pass
ход, прохождение;passage
пассажир;passenger
страсть;passion
страстный;passionate
пароль;password
мимо;past
прошлое/прошедший;past
времяпрепровождение;pastime
пастбище;pasture
хлопок, шлепок/похлопывать;pat
грядка;patch
пятно, участок, лоскут, заплатка;patch
путь;path
жалкий;pathetic
терпение;patience
терпеливый;patient
шаблон, модель, узор;pattern
толстый, с брюшком;paunchy
делать перерыв/пауза;pause
мостить;pave
тротуар;pavement
лапа;paw
делать, оказывать (напр. внимание);pay
платить;pay
платЮж;payment
выплата, платЮж;payoff
мир, покой;peace
мирный, спокойный, тихий;peaceful
вершина, высшая точка;peak
груша;pear
крестьянин;peasant
определЮнный, специфический;peculiar
пешеход;pedestrian
подглядывать;peep
вглядываться;peer
перо или ручка;pen
наказание;penalty
карандаш;pencil
проникать;penetrate
одноцентовая монета;penny
народ, нация, люди;people
воспринимать, ощущать;perceive
процент;percent
восприятие;perception
совершенный;perfect
выполнять, совершать;perform
исполнение, игра, спектакль;performance
исполнение, совершение, действие;performance
возможно;perhaps
опасность, риск;peril
погибать;perish
постоянный;permanent
разрешение, позволение;permission
позволять, давать возможность;permit
вечный;perpetual
запутывать, смущать;perplex
упорствовать;persist
упорство;persistence
упорный, настойчивый;persistent
человек;person
личный;personal
личность, индивидуальность;personality
персонал;personnel
убеждать;persuade
убеждение;persuasion
убедительный;persuasive
извращение;perversity
извращенец/извращать или совращать;pervert
лепесток;petal
мелкий, незначительный;petty
стадия, период, этап;phase
телефон;phone
обман, подделка, жулик, обманщик;phony
врач;physician
физика;physics
фортепьяно;piano
поднять, подобрать, забрать;pick up
выбирать;pick
картина;picture
пирог;pie
кусок, часть;piece
отдельный предмет, штука;piece
протыкать;pierce
свинья;pig
голубь;pigeon
куча, груда/складывать в кучу;pile
таблетка;pill
столб;pillar
подушка;pillow
лЮтчик или лоцман;pilot
булавка;pin
щипать, сдавливать;pinch
сосна;pine
курительная трубка;pipe
свисток;pipe
бесить;piss off
п€сать;piss
яма;pit
ставить, устанавливать;pitch
жалость/жалеть;pity
место;place
бедствие/насылать бедствие;plague
ясный, прямой, понятный;plain
самолЮт;plane
куст /сажать растение;plant
штукатурка/штукатурить, оклеивать, покрывать;plaster
тарелка;plate
трибуна;platform
правдоподобный, благовидный;plausible
просьба, призыв;plea
обращаться, просить, умолять;plead
приятный;pleasant
нравиться или угождать;please
удовольствие;pleasure
обещание, поручительтво, залог/давать обещание, ручаться;pledge
обильный;plentiful
множество, избыток;plenty
грядка;plot
план или сюжет;plot
плуг/пахать;plow
смелость;pluck
включать (прибор);plug in
водопроводчик;plumber
водопровод;plumbing
нырять, окунаться, бросаться/ныряние, погружение;plunge
карман/класть в карман;pocket
поэзия;poetry
указывать;point out
кончик;point
точка;point
цель, дело, вопрос;point
бессмысленный, бесцельный;pointless
равновесие/держать равновесие;poise
яд/отравлять;poison
совать, пихать, толкать/толчок;poke
политика;policy
полировать, чистить;polish
вежливый;polite
вежливость;politeness
политик;politician
опрос;poll
загрязнение;pollution
пруд;pond
обдумывать, взвешивать;ponder
лужа, прудок, заводь;pool
бедный;poor
плохой, скверный, убогий;poor
хлопать, щЮлкать;pop
папа римский;pope
населять;populate
население;population
крыльцо;porch
свинина;pork
портативный, переносной;portable
ворота, портал;portal
портрет;portrait
принимать позу, ставить, располагать;pose
положение;position
безусловно, несомненно;positively
владеть;possess
владение, собственность;possession
возможность, вероятность;possibility
возможный;possible
почта;post
почтовый;postal
откладывать;postpone
поза, положение;posture
горшок, котелок;pot
картошка;potato
сила, могущество;potency
могущественный;potent
способность, возможность;potential
фунт;pound
лить;pour
бедность;poverty
порошок, порох, пыль;powder
сила или власть;power
сильный, могущественный;powerful
хвалить/хвала;praise
молиться;pray
молитва;prayer
проповедовать, поучать;preach
предосторожность или предостережение;precaution
предупредительный;precautionary
предшествовать;precede
драгоценный;precious
точный, аккуратный, чЮткий;precise
точность;precision
хищный;predatory
предшественник или предок;predecessor
предсказывать;predict
предсказуемый;predictable
предсказание;prediction
преобладающий;predominant
преобладать;predominate
предпочитать;prefer
предпочтение;preference
беременность;pregnancy
беременный;pregnant
предубеждение, предрассудок/создавать предубеждение;prejudice
предварительный;preliminary
преждевременный;premature
помещения, система построек;premises
занятый, поглощЮнный;preoccupied
приготовление;preparation
подготовить, готовиться;prepare
предписывать;prescribe
предписание;prescription
присутствие;presence
подарок/дарить подарок;present
присутствующий, настоящий/настоящее время;present
предоставление, показ;presentation
скоро;presently
сохранение;preservation
сохранять;preserve
давить, нажимать;press
давление, воздействие, напряжЮнность;pressure
предположительно;presumably
предполагать;presume
притворяться;pretend
претензия, притворство;pretense
весьма, достаточно;pretty
приятный, симпатичный;pretty
преобладать, брать верх;prevail
предотвращать;prevent
предотвращение;prevention
предыдущий;previous
добыча;prey
цена;price
уколоть/укол;prick
гордость;pride
жрец, священник;priest
первостепенный, первичный, основной;primary
основной;principal
принцип;principle
печатать/печать, шрифт;print
предшествующий или более важный, первейший;prior
тюрьма;prison
узник, пленник;prisoner
секретность, уединЮнность;privacy
личный;private
премия, приз;prize
вероятность или правдоподобие;probability
вероятно;probably
исследовать/расследование;probe
действовать, происходить, приступать, продолжать;proceed
провозглашать, объявлять;proclaim
объявление, заявление;proclamation
откладывание, промедление;procrastination
достигать, добывать;procure
производить, создавать, вырабатывать/продукция;produce
производство или продукция;production
богохульство;profanity
открыто признавать, показывать, притворяться;profess
искусный, умелый;proficient
польза/приносить пользу;profit
полезный;profitable
глубокий, полный, основательный;profound
изобильный, богатый, расточительный;profuse
продвигаться вперЮд/продвижение, улучшение;progress
запрещать, препятствовать;prohibit
запрещение;prohibition
продлевать или продолжать;prolong
выдающийся, выступающий, в т. ч. в перен. смысле;prominent
обещание/обещать;promise
продвигать, поощрять, способствовать;promote
продвижение чего-либо;promotion
побуждать, толкать;prompt
проворный, быстрый;prompt
склонный к чему-либо;prone
произносить;pronounce
доказательство;proof
подпорка/подпирать;prop
продвигать вперЮд, толкать, стимулировать;propel
соотвествующий;proper
имущество;property
предсказание;prophecy
пророчить, предсказывать;prophesy
пророк;prophet
предложение;proposal
предлагать или предполагать;propose
предложение или заявление;proposition
правильность, уместность;propriety
преследовать;prosecute
преследование цели, выполнение работы;prosecution
перспектива, планы на будущее;prospect
будущий, предполагаемый;prospective
процветать;prosper
процветание;prosperity
процветающий;prosperous
защищать;protect
защита;protection
защитный;protective
гордый, гордящийся;proud
доказывать;prove
пословица;proverb
обеспечивать, предоставлять;provide
при условии, что;provide
провидение;providence
снабжение, обеспечение, приспособление;provision
вызывать, провоцировать;provoke
благоразумный, предусмотрительный;prudent
общественный;public
публичность, гласность, реклама;publicity
опубликовать;publish
блевать;puke
сносить (здание);pull down
добиться, справиться;pull off
остановиться;pull up
тянуть;pull
ударить кулаком/удар кулаком;punch
наказать;punish
наказание;punishment
ученик, школьник;pupil
щенок;puppy
покупать/покупка;purchase
чистый, безупречный, простой;pure
очищать;purify
пурпур/пурпурный цвет;purple
цель;purpose
кошелЮк;purse
преследовать, гнаться;pursue
погоня, преследование;pursuit
толкать, нажимать;push
вернуть;put back
откладывать;put off
одеть;put on
соединить;put together
возводить (сооружение);put up
мириться, привыкать;put up
вопрос, головоломка/запутывать;puzzle
приятно необычный, причудливый;quaint
дрожание/дрожать;quake
компетентный;qualified
качество, свойство;quality
количество;quantity
ссора/ссориться;quarrel
добыча;quarry
четверть;quarter
королева;queen
странный;queer
поиски;quest
вопросительный знак;question mark
спрашивать/вопрос;question
сомнительный;questionable
очередь;queue
быстрый;quick
быстрота;quickness
тихий, молчаливый;quiet
прекратить;quit
уволиться;quit
вполне, совершенно;quite
цитата, цитирование;quotation
цитировать/цитата;quote
кролик;rabbit
гонки, скачки/состязаться в скорости;race
племя, народ, раса;race
расовый;racial
стойка, подставка, вешалка;rack
тряпка;rag
ярость, гнев/бушевать, гневаться;rage
неровный, шероховатый;ragged
набег, нападение, облава;raid
рельс или перила;rail
железная дорога;railroad
железная дорога;railway
дождь;rain
радуга;rainbow
выращивать, воспитывать (детей, животных);raise
поднимать;raise
объединять, собирать;rally
баран;ram
случайный;random
сфера, область, предел, ареал;range
располагать в порядке убывания, ранжировать;rank
ряд;rank
насиловать/изнасилование;rape
быстрый, скорый;rapid
редкий;rare
мошенник, плут;rascal
стремительный, поспешный, неосторожный, опрометчивый;rash
крыса;rat
норма, уровень, тариф, ставка;rate
скорее, предпочтительнее, вернее;rather
отношение, пропорция;ratio
разумный;rational
греметь;rattle
разорять, опустошать/разорение;ravage
сырой, необработанный;raw
луч;ray
бритва;razor
достигать, дотягиваться/предел досягаемости;reach
реагировать, отзываться;react
готовый/подготавливать;ready
недвижимость;real estate
настоящий;real
практический;realistic
реальность;reality
понимать, осознавать;realize
в самом деле;really
королевство;realm
жать, пожинать плоды;reap
задний;rear
переделывать, переставлять, преобразовывать;rearrange
причина, повод;reason
разум/рассуждать, обсуждать, убеждать;reason
разумный;reasonable
заверять, убеждать;reassure
бунтовать/повстанец;rebel
восстание;rebellion
отскакивать/отскок;rebound
возвращать назад;recall
вспоминать или напоминать;recall
вернуть;recapture
отступать, удаляться;recede
расписка в получении, квитанция;receipt
получать;receive
недавно, на днях;recently
принятие, получение;reception
укромное место, углубление, уголок;recess
спад, снижение;recession
рецепт, средство;recipe
получатель;recipient
рассказывать, излагать;recite
безрассудный, дерзкий;reckless
считать за, полагать;reckon
вернуть утраченное обратно или требовать вернуть;reclaim
принятие;recognition
признавать, распознавать;recognize
вспоминать;recollect
воспоминание;recollection
советовать;recommend
мирить(ся);reconcile
премирение;reconciliation
запись/записывать;record
рассказывать, излагать;recount
вернуть, получить вновь;recover
выздаравливать, восстанавливаться;recover
восстановление, возмещение;recovery
исправлять;rectify
перерабатывать вновь, повторно использовать;recycle
возмещать, искупать;redeem
усиливать, наращивать;redouble
понижать, сводить, приводить к;reduce
снижение;reduction
излишний;redundant
говорить, упоминать, ссылаться;refer
передавать на рассмотрение;refer
ссылка, упоминание;reference
очищать, улучшать;refine
отражать, отражаться;reflect
размышлять, раздумывать;reflect
отражение;reflection
размышление;reflection
воздерживаться;refrain
освежать;refresh
убежище;refuge
уплата, возвращение денег/возвращать;refund
отказ;refusal
отказываться;refuse
опровергать;refute
получить вновь;regain
внимание, уважение/принимать во внимание;regard
рассматривать, считать кем-то;regard
возраждаться, восстанавливаться;regenerate
сожаление/сожалеть;regret
постоянный, обычный, правильный;regular
репетиция;rehearsal
репетировать;rehearse
царствовать;reign
усиливать, подкреплять;reinforce
отвергать;reject
отказ, отклонение;rejection
радовать(ся);rejoice
присоединиться, примкнуть;rejoin
иметь отношение;relate
отношение, связь;relation
отношения, взаимоотношения;relationship
относительный, сравнительный;relative
родственник;relative
расслаблять(ся), ослаблять;relax
ослабление, расслабление;relaxation
передавать;relay
освобождать, отпускать/освобождение;release
уместный, относящийся к делу;relevant
надЮжность;reliability
надЮжный;reliable
доверие, уверенность;reliance
облегчение;relief
облегчать, успокаивать;relieve
удовольствие/получать удовольствие;relish
